name,address,latitude,longitude,categories,review_stars,"KNeighbors(latitude, longitude)",review_stars,"""rv"" in categories","KNeighbors(Latitude, Longitude)","""world"" in Results Snippets","""camping"" in Results Snippets","""camping"" in Title of the First Result","""camping"" in Results Titles","""world rv"" in Results Titles","""motorhomes"" in Results Snippets","""campers"" in Results Snippets","""accessories"" in Results Titles","""rated based"" in Results Snippets","""parts accessories"" in Results Snippets","""5th wheels"" in Results Snippets","""sale"" in Results Titles","""based"" in Results Snippets","""service center"" in Title of the First Result","""rvs"" in Results Titles","""buy"" in Results Snippets","""dealer"" in Results Titles","""inventory"" in Results Snippets","""travel"" in Results Titles","KNeighbors(LAT, LONG)",Number of Related Links,day(Website Creation Date),month(Website Creation Date),"""service"" in Website Description",year(Website Creation Date),Percentile,Number of Website Subdomains,"""rv"" in Website Description",MedianLoadTime,"""camping"" in Website Description","""buy"" in Website Description","""rv dealer"" in Title","""dealer"" in Title",Number of Connections to Youtube,"""trailers"" in Website Description",month(Domain Update Date),Domain Creation Date - Domain Update Date,Domain Creation Date - Domain Expiry Date,Stopword Count(Associated Keywords),"""pinterest instagram"" in Social Networks",Number of Social Networks,"""facebook"" in Social Networks",Year of Establishment,AdultContent->False,AdultContent->empty,Results From Facebook->False,Results From Facebook->True,Url Split(Company Website).company_website_10->empty,Url Split(Company Website).company_website_10->utm_campaign=Yext%20Directory%20Listing,Url Split(Company Website).company_website_10->utm_medium=organic,Url Split(Company Website).company_website_10->utm_source=moz,_TARGET_
E's RV Appliance Repair,"1959 S Power Rd, Ste 103-238",33.3799806,-111.68721969999999,"Automotive, Water Heater Installation/Repair, Home Services, Local Services, Heating & Air Conditioning/HVAC, Appliances & Repair, RV Repair",5,3.65,5,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,2.0,-1811.0,-2192.0,,0,,0,,0,1,0,1,1,0,0,0,5.0
E's RV Appliance Repair,"1959 S Power Rd, Ste 103-238",33.3799806,-111.68721969999999,"Automotive, Water Heater Installation/Repair, Home Services, Local Services, Heating & Air Conditioning/HVAC, Appliances & Repair, RV Repair",5,3.65,5,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,2.0,-1811.0,-2192.0,,0,,0,,0,1,0,1,1,0,0,0,5.0
E's RV Appliance Repair,"1959 S Power Rd, Ste 103-238",33.3799806,-111.68721969999999,"Automotive, Water Heater Installation/Repair, Home Services, Local Services, Heating & Air Conditioning/HVAC, Appliances & Repair, RV Repair",5,3.65,5,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.0,,,0,,,0.0,0,,0,0,0,0,0.0,0,2.0,-1811.0,-2192.0,,0,,0,,0,1,0,1,1,0,0,0,5.0
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",5,4.025,5,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",4,4.025,4,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",4,4.025,4,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",4,4.025,4,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",5,4.025,5,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",4,4.025,4,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",1,4.025,1,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",4,4.025,4,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",3,4.025,3,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",4,4.025,4,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",3,4.025,3,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Montréal Sud KOA,130 Montée Monette,45.3467525,-73.4895819,"Campgrounds, Hotels & Travel, RV Parks, Event Planning & Services, Hotels",2,4.025,2,1,4.025,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.0,5.0,1.0,0,1999.0,70.0,3.0,0,1210.0,1,0,0,0,4.0,0,12.0,-6908.0,-10227.0,1.0,0,7.0,1,1962.0,1,0,1,0,1,0,0,0,3.5
Mini Self Storage Stephanie,5280 Stephanie St,36.09383270000001,-115.04534469999999,"Local Services, RV Parks, Self Storage, Hotels & Travel, Mailbox Centers",5,4.0,5,1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,,,0,,,0.0,0,,0,0,0,0,1.0,0,3.0,-4384.0,-4748.0,0.0,0,2.0,0,,0,1,1,0,1,0,0,0,4.0
Mini Self Storage Stephanie,5280 Stephanie St,36.09383270000001,-115.04534469999999,"Local Services, RV Parks, Self Storage, Hotels & Travel, Mailbox Centers",5,4.0,5,1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,,,0,,,0.0,0,,0,0,0,0,1.0,0,3.0,-4384.0,-4748.0,0.0,0,2.0,0,,0,1,1,0,1,0,0,0,4.0
Mini Self Storage Stephanie,5280 Stephanie St,36.09383270000001,-115.04534469999999,"Local Services, RV Parks, Self Storage, Hotels & Travel, Mailbox Centers",1,4.0,1,1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,,,0,,,0.0,0,,0,0,0,0,1.0,0,3.0,-4384.0,-4748.0,0.0,0,2.0,0,,0,1,1,0,1,0,0,0,4.0
Mini Self Storage Stephanie,5280 Stephanie St,36.09383270000001,-115.04534469999999,"Local Services, RV Parks, Self Storage, Hotels & Travel, Mailbox Centers",4,4.0,4,1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,,,0,,,0.0,0,,0,0,0,0,1.0,0,3.0,-4384.0,-4748.0,0.0,0,2.0,0,,0,1,1,0,1,0,0,0,4.0
Mini Self Storage Stephanie,5280 Stephanie St,36.09383270000001,-115.04534469999999,"Local Services, RV Parks, Self Storage, Hotels & Travel, Mailbox Centers",5,4.0,5,1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,,,0,,,0.0,0,,0,0,0,0,1.0,0,3.0,-4384.0,-4748.0,0.0,0,2.0,0,,0,1,1,0,1,0,0,0,4.0
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",1,4.725,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",1,4.725,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",1,4.725,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",1,4.725,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",5,4.725,5,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",5,4.725,5,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",4,4.725,4,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",1,4.725,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",1,4.725,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",5,4.725,5,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",1,4.725,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",4,4.725,4,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",1,4.725,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",1,4.725,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",1,4.725,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",4,4.725,4,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",5,4.725,5,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Latham RV Phoenix,1039 E Broadway Rd,33.3990327,-111.79723840000001,"Hotels & Travel, RV Dealers, Active Life, RV Rental, Home Services, Automotive",5,4.725,5,2,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3.5,,,,0,,,,0,,0,0,0,0,,0,,,,,0,,0,,0,1,1,0,1,0,0,0,2.5
Blue Dog RV,5220 E Russell Rd,36.086338700000006,-115.05899790000001,"Auto Parts & Supplies, RV Dealers, Automotive, Trailer Dealers",4,3.0,4,1,3.35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,,,0,,54.0,2.0,0,1642.0,0,0,0,0,5.0,0,1.0,-2296.0,-4749.0,0.0,0,3.0,0,2007.0,0,1,0,1,1,0,0,0,3.0
Blue Dog RV,5220 E Russell Rd,36.086338700000006,-115.05899790000001,"Auto Parts & Supplies, RV Dealers, Automotive, Trailer Dealers",2,3.0,2,1,3.35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,,,0,,54.0,2.0,0,1642.0,0,0,0,0,5.0,0,1.0,-2296.0,-4749.0,0.0,0,3.0,0,2007.0,0,1,0,1,1,0,0,0,3.0
Blue Dog RV,5220 E Russell Rd,36.086338700000006,-115.05899790000001,"Auto Parts & Supplies, RV Dealers, Automotive, Trailer Dealers",5,3.0,5,1,3.35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,,,0,,54.0,2.0,0,1642.0,0,0,0,0,5.0,0,1.0,-2296.0,-4749.0,0.0,0,3.0,0,2007.0,0,1,0,1,1,0,0,0,3.0
Blue Dog RV,5220 E Russell Rd,36.086338700000006,-115.05899790000001,"Auto Parts & Supplies, RV Dealers, Automotive, Trailer Dealers",1,3.0,1,1,3.35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,,,0,,54.0,2.0,0,1642.0,0,0,0,0,5.0,0,1.0,-2296.0,-4749.0,0.0,0,3.0,0,2007.0,0,1,0,1,1,0,0,0,3.0
Blue Dog RV,5220 E Russell Rd,36.086338700000006,-115.05899790000001,"Auto Parts & Supplies, RV Dealers, Automotive, Trailer Dealers",5,3.0,5,1,3.35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,,,0,,54.0,2.0,0,1642.0,0,0,0,0,5.0,0,1.0,-2296.0,-4749.0,0.0,0,3.0,0,2007.0,0,1,0,1,1,0,0,0,3.0
Blue Dog RV,5220 E Russell Rd,36.086338700000006,-115.05899790000001,"Auto Parts & Supplies, RV Dealers, Automotive, Trailer Dealers",1,3.0,1,1,3.35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,,,0,,54.0,2.0,0,1642.0,0,0,0,0,5.0,0,1.0,-2296.0,-4749.0,0.0,0,3.0,0,2007.0,0,1,0,1,1,0,0,0,3.0
Blue Dog RV,5220 E Russell Rd,36.086338700000006,-115.05899790000001,"Auto Parts & Supplies, RV Dealers, Automotive, Trailer Dealers",1,3.7,1,1,3.325,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.0,,,0,,54.0,2.0,0,1642.0,0,0,0,0,5.0,0,1.0,-2296.0,-4749.0,0.0,0,3.0,0,2007.0,0,1,0,1,1,0,0,0,3.0
Blue Dog RV,5220 E Russell Rd,36.086338700000006,-115.05899790000001,"Auto Parts & Supplies, RV Dealers, Automotive, Trailer Dealers",1,3.7,1,1,3.325,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.0,,,0,,54.0,2.0,0,1642.0,0,0,0,0,5.0,0,1.0,-2296.0,-4749.0,0.0,0,3.0,0,2007.0,0,1,0,1,1,0,0,0,3.0
Blue Dog RV,5220 E Russell Rd,36.086338700000006,-115.05899790000001,"Auto Parts & Supplies, RV Dealers, Automotive, Trailer Dealers",1,3.7,1,1,3.325,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.0,,,0,,54.0,2.0,0,1642.0,0,0,0,0,5.0,0,1.0,-2296.0,-4749.0,0.0,0,3.0,0,2007.0,0,1,0,1,1,0,0,0,3.0
Blue Dog RV,5220 E Russell Rd,36.086338700000006,-115.05899790000001,"Auto Parts & Supplies, RV Dealers, Automotive, Trailer Dealers",1,3.7,1,1,3.325,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.0,,,0,,54.0,2.0,0,1642.0,0,0,0,0,5.0,0,1.0,-2296.0,-4749.0,0.0,0,3.0,0,2007.0,0,1,0,1,1,0,0,0,3.0
Blue Dog RV,5220 E Russell Rd,36.086338700000006,-115.05899790000001,"Auto Parts & Supplies, RV Dealers, Automotive, Trailer Dealers",5,3.7,5,1,3.325,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.0,,,0,,54.0,2.0,0,1642.0,0,0,0,0,5.0,0,1.0,-2296.0,-4749.0,0.0,0,3.0,0,2007.0,0,1,0,1,1,0,0,0,3.0
